Symbol,Company Name,Market cap,Beta,P/E,Price,Volume,Annual Return,Cluster
NARMADA.NS,Narmada Agrobase Limited,270974280,-0.265,26.67,20.0,563,0.0853,0
TATAMTRDVR.NS,Tata Motors Limited,3506654985096,1.818,7.69,620.75,1879679,2.2015,3
RECLTD.NS,REC Limited,1209964590000,0.822,9.26,459.5,80976996,3.0431,1
SHRIPISTON.NS,Shriram Pistons & Rings Limited,83403891320,1.081,19.38,1893.4,119759,2.8288,1
MHRIL.NS,Mahindra Holidays & Resorts India Limited,79892211200,0.187,69.74,395.6,78015,0.4528,0
DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited,25982987700,-1.091,43.0,649.5,5597,8.7911,0
DEN.NS,DEN Networks Limited,22741741491,1.099,10.97,47.7,1288818,0.7655,1
VERTOZ.NS,Vertoz Advertising Limited,9531118207,1.29,67.13,657.55,15809,2.7712,1
THEINVEST.NS,The Investment Trust of India Limited,6856788750,0.787,38.46,131.25,17115,1.0022,1
DRCSYSTEMS.NS,DRC Systems India Limited,2702306400,1.171,24.02,20.4,161848,0.3485,1
WELINV.NS,Welspun Investments and Commercials Limited,2685677352,0.507,94.88,734.9,153,1.6112,0
ABMINTLLTD.NS,ABM International Limited,615283200,0.388,-163.5,65.4,212,0.1074,0
KEC.NS,KEC International Limited,185077651200,0.563,57.47,719.9,1181224,0.5414,0
NAVINFLUOR.NS,Navin Fluorine International Limited,163673453400,0.318,61.04,3300.6,244465,-0.2585,0
SPANDANA.NS,Spandana Sphoorty Financial Limited,53200735110,0.58,11.07,746.1,127995,0.6417,0
CARTRADE.NS,CarTrade Tech Limited,37139386383,0.151,53.11,786.7,259966,0.7015,0
DELTACORP.NS,Delta Corp Limited,30137626050,0.833,12.59,112.55,1907720,-0.3736,1
CENTRUM.NS,Centrum Capital Limited,16613712193,0.871,-11.47,37.1,904345,0.5644,1
URAVI.NS,Uravi T and Wedge Lamps Limited,5830000000,0.242,280.1,530.0,39688,1.7486,0
TGBHOTELS.NS,TGB Banquets and Hotels Limited,399759360,0.498,-11.6,13.65,119108,0.8125,0
UNIINFO.NS,Uniinfo Telecom Services Limited,335763340,0.804,19.39,31.4,39607,0.9773,1
INDIGOPNTS.NS,Indigo Paints Limited,64369305700,0.333,44.47,1351.7,39606,0.227,0
DHANUKA.NS,Dhanuka Agritech Limited,59926348840,0.888,26.19,1314.8,48672,0.6777,1
HINDALCO.NS,Hindalco Industries Limited,1562379705000,1.406,14.95,695.25,25834403,0.394,1
ARMANFIN.NS,Arman Financial Services Limited,20946361797,0.631,11.88,2079.4,64435,0.3441,1
SPIC.NS,Southern Petrochemical Industries Corporation Limited,14264982000,0.934,12.89,70.05,644750,0.2753,1
INDIANCARD.NS,The Indian Card Clothing Company Limited,1458842016,0.243,18.75,245.55,3016,0.1602,0
NEXTMEDIA.NS,Next Mediaworks Limited,408046690,0.848,-1.91,6.1,25966,0.5357,1
TRENT.NS,Trent Limited,1743237150600,0.356,116.62,4903.8,1231937,1.9575,3
COFORGE.NS,Coforge Limited,342062756460,0.618,40.23,5129.1,402664,0.5101,0
JBMA.NS,JBM Auto Limited,234064024150,0.846,141.97,1979.45,211881,1.8124,1
GODFRYPHLP.NS,Godfrey Phillips India Limited,190357466985,0.204,22.13,3661.15,57567,0.6889,0
EVEREADY.NS,Eveready Industries India Limited,22809274740,1.022,35.39,313.8,144069,0.1918,1
CAMLINFINE.NS,Camlin Fine Sciences Limited,15247688250,0.992,-17.11,91.05,398688,-0.3105,1
AWHCL.NS,Antony Waste Handling Cell Limited,11643756525,0.506,14.02,410.25,212576,0.8583,0
SRHHYPOLTD.NS,Sree Rayalaseema Hi-Strength Hypo Limited,8332652160,1.037,11.21,485.45,21017,0.2196,1
BLUECHIP.NS,Blue Chip India Limited,179738975,1.229,-6.13,3.25,17906,6.7143,1
ASTRAL.NS,Astral Limited,568495320100,0.421,106.41,2116.3,636053,0.4724,0
CHALET.NS,Chalet Hotels Limited,176517575308,0.278,58.13,770.35,99979,1.4529,0
HCC.NS,Hindustan Construction Company Limited,58873134500,1.112,10.36,35.05,43786556,1.3338,1
SUVEN.NS,Suven Life Sciences Limited,19081475000,1.515,-19.01,87.5,297206,1.1053,1
TOUCHWOOD.NS,Touchwood Entertainment Limited,1488205160,0.167,46.58,134.3,3106,-0.14,0
CINEVISTA.NS,Cinevista Limited,1008010575,0.344,-13.55,17.55,5442,0.5466,0
LICI.NS,Life Insurance Corporation of India,5954352740640,0.607,17.38,941.4,3833181,0.7382,3
TRIDENT.NS,Trident Limited,186512136000,0.44,53.55,36.6,6826640,0.4117,0
POLYMED.NS,Poly Medicure Limited,170435609260,0.341,68.76,1775.9,28817,0.6813,0
KESORAMIND.NS,Kesoram Industries Limited,55930732000,1.476,-14.72,180.05,693163,2.0265,1
HEXATRADEX.NS,Hexa Tradex Limited,8267369355,1.206,8.99,149.65,12831,0.0354,1
UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,152811420178,0.923,7.53,47.4,18206986,0.7941,1
